course_code,course_title,u,has_asterisk
ECON F353,Energy Economics and Policy,3,No
CHE F366,Laboratory Project,3,No
CHE F376,Design Project,3,No
CHE F491,Special Project,3,No
HSS F381,Environmental Sustainability Ventures,3,No
CE F211,Mechanics of Solids,3,No
CE F213,Surveying,4,No
CE F231,Fluid Mechanics,3,No
CE F241,Analysis of Structures,3,No
CE F432,Structural Dynamics,3,No
CE F435,Introduction to Finite Element Methods,3,No
CE F242,Construction Planning and Technology,3,No
CE F243,Soil Mechanics,4,No
CE F244,Highway Engineering,4,No
CE F312,Hydraulics Engineering,4,No
CE F313,Foundation Engineering,3,No
CE F320,Design of Reinforced Concrete Structures,3,No
CS F211,Data Structures & Algorithms,4,No
CS F212,Database Systems,4,No
CS F213,Object Oriented Programming,4,No
BITS F313,Multicriterion Decision Making in Engg. and Management,3,No
CS F214,Logic in Computer Science,3,No
CS F215,Digital Design,4,No
CS F222,Discrete Structures for Computer Science,3,No
CS F241,Microprocessors & Interfacing,4,No
CS F301,Principles of Programming Languages,2,No
CS F303,Computer Networks,4,No
CS F342,Computer Architecture,4,No
CS F351,Theory of Computation,3,No
CS F363,Compiler Construction,3,No
CS F364,Design & Analysis of Algorithms,3,No
CS F372,Operating Systems,3,No
BITS F311,Image Processing,3,No
BITS F312,Neural Networks and Fuzzy Logic,3,No
BITS F343,Fuzzy Logic and Applications,3,No
BITS F364,Human Computer Interaction,3,No
BITS F386,Quantum Information and Computation,3,No
BITS F452,Blockchain Technology,3,No
BITS F453,Computational Learning Theory,3,No
BITS F454,Bio-Inspired Intelligence: Algorithms and Applications,3,No
BITS F459,Computer Vision,4,No
BITS F463,Cryptography,3,No
BITS F464,Machine Learning,3,No
BITS F465,Enterprise Computing,4,No
BITS F466,Service Oriented Computing,4,No
CS F314,Software Development for Portable Devices,3,No
CS F315,Information and Communication Technologies and Development,3,No
CS F316,Quantum Architecture and Programming,3,No
CS F317,Reinforcement Learning,3,No
CS F320,Foundations of Data Science,3,No
CS F321,System Security,3,No
CS F322,Knowledge Graphs- Foundations and Applications,3,No
CS F401,Multimedia Computing,3,No
CS F402,Computational Geometry,3,No
CS F407,Artificial Intelligence,3,No
CS F413,Internetworking Technologies,3,No
CS F415,Data Mining,3,No
CS F422,Parallel Computing,3,No
CS F424,Software for Embedded Systems,4,No
CS F425,Deep Learning,3,No
CS F426,Graph Mining,4,No
CS F427,Performance Analysis of Computer Networks,3,No
CS F428,Special topic in Computer Science,101,No
CS F429,Natural Language Processing,3,No
CS F430,Approximation Algorithms,3,No
CS F431,Combinatorial Optimization,3,No
CS F432,Brain-inspired Deep Learning,3,No
CS F433,Computational Neuroscience,3,No
CS F434,Data science for Healthcare,3*,Yes
CS F435,Cyber Security Analytics and Forensics,4,No
CS F436,Cyber Physical Systems and Security,4,No
CS F437,Generative Artificial Intelligence,3,No
CS F441,Selected Topics from Computer Science,3,No
CS F444,Real Time Systems,3,No
CS F446,Data Storage Technologies and Networks,3,No
CS F468,Information Security Project,3,No
CS F469,Information Retrieval,3,No
CS G513,Network Security,4,No
CS G514,Object Oriented Analysis and Design,4,No
CS G519,Social Media Analytics,4,No
CS G520,Advanced Data Mining,4,No
CS G527,Cloud Computing,5,No
CS G557,Distributed Computing,5*,Yes
IS F311,Computer Graphics,3,No
IS F341,Software Engineering,4,No
IS F462,Network Programming,3,No
MATH F231,Number Theory,3,No
MATH F421,Combinatorial Mathematics,3,No
MATH F441,Discrete Mathematical Structures,3,No
EEE F211,Electrical Machines,4,No
EEE F212,Electromagnetic Theory,3,No
EEE F214,Electronic Devices,3,No
EEE F215,Digital Design,14,No
